name,Provinsi Aceh,Provinsi Sumatera Utara,Provinsi Sumatera Barat,Provinsi Riau,Provinsi Jambi,Provinsi Sumatera Selatan,Provinsi Bengkulu,Provinsi Lampung,Provinsi Kepulauan Bangka Belitung,Provinsi Kepulauan Riau,Provinsi DKI Jakarta,Provinsi Jawa Barat,Provinsi Jawa Tengah,Provinsi DI Yogyakarta,Provinsi Jawa Timur,Provinsi Banten,Provinsi Bali,Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Timur,Provinsi Kalimantan Barat,Provinsi Kalimantan Tengah,Provinsi Kalimantan Selatan,Provinsi Kalimantan Timur,Provinsi Sulawesi Utara,Provinsi Sulawesi Tengah,Provinsi Sulawesi Selatan,Provinsi Sulawesi Tenggara,Provinsi Gorontalo,Provinsi Sulawesi Barat,Provinsi Maluku,Provinsi Maluku Utara,Provinsi Papua Barat,Provinsi Papua
Provinsi Aceh,0.0,421754.8097594353,751078.5379342779,735348.4397853428,931314.7252230316,1191821.317265126,1106499.1704282982,1404925.2111039073,1355730.8364329513,1267426.632908071,1647289.6017126627,1780530.2866754837,1982192.6157162325,2058922.5843075446,2188420.153489866,1605734.0557253468,2508117.623688012,2722780.245014663,3077911.0389811797,1727444.0615072597,1979795.8777102963,2234087.4626290225,2211975.8037304627,3060077.528720254,2829009.34989335,2743547.578311787,2991687.532579822,2890785.522538463,2635934.7396887187,3816526.6251475927,3469062.6342216353,4105706.3183132913,4701891.163078578
Provinsi Sumatera Utara,421754.8097594353,0.0,345237.936338469,313796.4312776849,512035.89104538626,772991.8782292446,702462.2187422118,984746.5246475206,936595.5298925396,976921.0721114994,1227274.4665237358,1360475.6347085568,1560552.5420261032,1637168.0908400218,1768177.239380398,1188593.7874406995,2090348.3257156045,2308054.295499679,2670170.3275510776,1353929.5984630852,1596264.924445325,1843604.944436685,1878156.346520561,2723655.9284039955,2468847.502572354,2361240.705855147,2610896.793545879,2553359.3061485016,2258412.277746993,3456071.865811369,3145210.9573843926,3762384.344989255,4344474.537096558
Provinsi Sumatera Barat,751078.5379342779,345237.936338469,0.0,152460.19236775461,200070.4580880266,448756.1527156097,357852.76629371155,663803.2959592034,665452.8241349099,967315.3498735155,903844.8665709202,1036619.5597062854,1255965.1936008625,1327761.9458567025,1475059.2725689893,856921.703089385,1806878.889025642,2033825.7355929157,2412531.2227492477,1189410.3374378062,1404198.0645715422,1632176.669772629,1758378.270204799,2584175.9712423417,2299098.0776202325,2157080.022879133,2406522.51085189,2414892.589124373,2063885.5724003324,3276111.741424557,3017158.8653721786,3603919.3351089964,4163621.479870846
Provinsi Riau,735348.4397853428,313796.4312776849,152460.19236775461,0.0,212837.71144472784,468953.62144209736,433932.9047468099,676130.850988319,624560.1596635068,821912.1713271616,918344.6214763501,1051233.3103615295,1246844.3131532592,1323782.0121168555,1454791.325702143,884925.6522788231,1778488.990410927,1998334.133000016,2365594.159158363,1089253.6778475635,1317773.0263485776,1556411.9712154137,1644286.7374342775,2479068.8935189904,2205369.3575805337,2078899.8633160058,2328897.6499557714,2309100.2625793586,1980793.173921914,3188200.7383861225,2908638.833364317,3507354.427682256,4076848.393035034
Provinsi Jambi,931314.7252230316,512035.89104538626,200070.4580880266,212837.71144472784,0.0,260955.98839013235,231624.0411272519,473694.81426918774,466402.8781571845,873746.6722493984,715978.2434213702,849218.2553366739,1059687.2084682102,1133149.3695615006,1276515.1855271047,676853.0476356712,1607375.056520912,1833845.6639749683,2212659.751057537,1014689.2399344449,1218042.8702144455,1439805.6084594724,1594122.386473391,2408604.07678223,2115234.159475165,1964895.6380885777,2213827.5191320227,2240235.4970523245,1874157.1116774597,3087670.200967682,2844068.508130539,3420572.2423124677,3974099.8632089337
Provinsi Sumatera Selatan,1191821.317265126,772991.8782292446,448756.1527156097,468953.62144209736,260955.98839013235,0.0,176563.63970568083,215048.3425610428,288013.0284074406,930928.0803822362,456036.9450147704,589177.5477529388,809753.9851031178,879802.0376265026,1033452.893180745,416322.686783541,1369167.2612109864,1600858.6492594515,1989257.334971682,905870.0499982163,1068396.9228498181,1263905.1608575277,1495657.408366778,2274284.6487104874,1960961.347273017,1784844.8916478225,2030433.0569778534,2109400.1475233147,1703498.067236658,2915187.5829377966,2713226.3260803614,3261732.0546350433,3796209.6713659186
Provinsi Bengkulu,1106499.1704282982,702462.2187422118,357852.76629371155,433932.9047468099,231624.0411272519,176563.63970568083,0.0,356712.7773792989,464383.7549618074,1052544.4463997614,577724.046891713,706293.4325222374,949780.8480438914,1013141.4237172853,1179987.778562215,517436.7858841699,1518506.2090555644,1753663.8865932054,2147512.705473766,1079046.0570429792,1244959.8914570315,1438744.5338200652,1668776.3500001403,2450803.2143576127,2137193.901109087,1958400.971868124,2203122.8161508455,2285810.6278893324,1878493.636840318,3089234.9977944014,2889709.600817223,3437311.949476108,3969024.215415413
Provinsi Lampung,1404925.2111039073,984746.5246475206,663803.2959592034,676130.850988319,473694.81426918774,215048.3425610428,356712.7773792989,0.0,231478.33391550806,988375.3532836703,242537.02595243047,375729.7743931584,597425.6149156478,665598.44826001,824770.858218532,216868.19619199508,1162600.8892349293,1397115.0442286164,1791003.27942658,824194.7364981546,941793.4788100088,1108939.2389290999,1403683.2323137475,2143138.8990257634,1816028.2887660903,1620419.3766688434,1861756.5671643917,1982331.6563709308,1547417.1356077562,2751257.019158013,2582273.739559204,3107057.524536067,3626320.724475745
Provinsi Kepulauan Bangka Belitung,1355730.8364329513,936595.5298925396,665452.8241349099,624560.1596635068,466402.8781571845,288013.0284074406,464383.7549618074,231478.33391550806,0.0,763254.2835398308,386388.8921979817,499931.2272682601,637255.5075316427,719314.7746146792,833157.8340251847,407404.016128009,1153971.8774847037,1374615.88879907,1747869.6067849712,622879.9017965083,781008.7244454793,983914.7947259031,1211605.4131721773,1986483.442615991,1675493.8892991275,1507664.86893357,1755177.0577368678,1821429.9410991557,1422301.0146160857,2635739.4844612605,2425341.330479632,2978103.9105967167,3519361.8637623293
Provinsi Kepulauan Riau,1267426.632908071,976921.0721114994,967315.3498735155,821912.1713271616,873746.6722493984,930928.0803822362,1052544.4463997614,988375.3532836703,763254.2835398308,0.0,1132382.7353012655,1221542.5835143833,1246955.1044168328,1331533.860048847,1348680.8242365578,1167728.9334953947,1574332.7876880388,1728593.8847003249,2001065.4859090913,596333.0548197969,852612.4543014546,1112101.3021704298,954834.609785855,1798662.8165213033,1594870.2417877065,1562360.9557384397,1798936.5872832185,1630762.6314130952,1444167.792985664,2573334.195773963,2202207.3768658563,2845401.665223881,3451461.1511990367
Provinsi DKI Jakarta,1647289.6017126627,1227274.4665237358,903844.8665709202,918344.6214763501,715978.2434213702,456036.9450147704,577724.046891713,242537.02595243047,386388.8921979817,1132382.7353012655,0.0,133240.8185682539,378851.190853478,436331.8486510048,613802.0757076417,89064.58370655584,952778.4620942259,1191786.3746438352,1594233.196904418,833643.7880053661,881892.2798593192,997691.8767896664,1373409.7693847595,2048094.9882978585,1705273.5551499052,1482865.3435285522,1714708.8050508923,1894674.3237352655,1423962.8874149541,2605408.0101129957,2483789.9451949587,2972964.4429057664,3468759.05089005
Provinsi Jawa Barat,1780530.2866754837,1360475.6347085568,1036619.5597062854,1051233.3103615295,849218.2553366739,589177.5477529388,706293.4325222374,375729.7743931584,499931.2272682601,1221542.5835143833,133240.8185682539,0.0,273084.3981270947,316467.98583064374,506957.63292184944,192922.17375884653,842220.7966857535,1082704.4995100715,1488867.1049691378,863733.5098163895,871601.865454385,952959.7871483864,1370088.3282052213,2001841.520557315,1651958.2320008979,1415119.604912837,1639535.483041554,1853603.9845240926,1365394.2749390774,2527520.2395513575,2433627.6956989616,2900996.5134315207,3382542.7925859713
Provinsi Jawa Tengah,1982192.6157162325,1560552.5420261032,1255965.1936008625,1246844.3131532592,1059687.2084682102,809753.9851031178,949780.8480438914,597425.6149156478,637255.5075316427,1246955.1044168328,378851.190853478,273084.3981270947,0.0,86107.07238714166,235542.46333457725,458082.99093378196,573991.0548249411,813406.2752344089,1217623.6143315102,774247.813670364,703705.5302321834,725610.6352531794,1196501.150110092,1760632.6312247647,1404956.5805665685,1155705.2447793582,1373841.5219508403,1619129.9643766338,1114873.180942133,2259146.3988030413,2186788.833888799,2635634.662147251,3110657.460996991
Provinsi DI Yogyakarta,2058922.5843075446,1637168.0908400218,1327761.9458567025,1323782.0121168555,1133149.3695615006,879802.0376265026,1013141.4237172853,665598.44826001,719314.7746146792,1331533.860048847,436331.8486510048,316467.98583064374,86107.07238714166,0.0,203413.84303653624,508510.656797448,528181.42738046,768893.5137890179,1176802.2549470088,848070.3575846894,759329.5315020288,754525.3755744125,1245015.8639965532,1773425.33716362,1414663.7177719045,1155068.6255361552,1364291.5065518,1636894.596101371,1123168.304492363,2243540.6789136785,2194451.639051466,2624323.6527321613,3086287.0530009107
Provinsi Jawa Timur,2188420.153489866,1768177.239380398,1475059.2725689893,1454791.325702143,1276515.1855271047,1033452.893180745,1179987.778562215,824770.858218532,833157.8340251847,1348680.8242365578,613802.0757076417,506957.63292184944,235542.46333457725,203413.84303653624,0.0,693621.0445085311,339332.3267351183,578012.0419970806,982250.8067172075,806973.9071362822,659728.75033584,596100.4270481006,1115937.3322937144,1585010.853339009,1224351.8912968768,957664.6692069472,1162367.8352138237,1453965.686195102,932761.9732797212,2040214.13020622,2000994.9736798797,2421539.36423882,2883609.514934406
Provinsi Banten,1605734.0557253468,1188593.7874406995,856921.703089385,884925.6522788231,676853.0476356712,416322.686783541,517436.7858841699,216868.19619199508,407404.016128009,1167728.9334953947,89064.58370655584,192922.17375884653,458082.99093378196,508510.656797448,693621.0445085311,0.0,1031372.4868917195,1271283.0783045923,1675588.2721880148,905718.1204494201,965895.2318288126,1086331.5172099874,1454664.81141147,2136510.236640243,1794182.7553555786,1571755.7852073885,1803126.0176093027,1982630.3400432493,1513022.7792293713,2693668.581369887,2572443.0686267396,3061746.875953452,3555919.109211386
Provinsi Bali,2508117.623688012,2090348.3257156045,1806878.889025642,1778488.990410927,1607375.056520912,1369167.2612109864,1518506.2090555644,1162600.8892349293,1153971.8774847037,1574332.7876880388,952778.4620942259,842220.7966857535,573991.0548249411,528181.42738046,339332.3267351183,1031372.4868917195,0.0,240718.42390451633,649083.2718457362,988963.1006022027,770481.3506351112,588066.9506750483,1119713.9064109868,1395803.4439233772,1037619.2307091007,745192.6846058256,905358.9027579238,1289641.78752369,761090.7211527028,1751739.237679924,1783148.062518909,2141591.293311045,2573056.411810035
Provinsi Nusa Tenggara Barat,2722780.245014663,2308054.295499679,2033825.7355929157,1998334.133000016,1833845.6639749683,1600858.6492594515,1753663.8865932054,1397115.0442286164,1374615.88879907,1728593.8847003249,1191786.3746438352,1082704.4995100715,813406.2752344089,768893.5137890179,578012.0419970806,1271283.0783045923,240718.42390451633,0.0,409171.71251068055,1132945.1648044852,888109.829459006,656506.2094998596,1143068.2985192281,1261231.6653226381,918045.6409010539,622377.213340308,729314.2015317779,1178083.2652589963,674927.9233999449,1536371.6077753368,1619247.9364135542,1930184.805248654,2341815.895895799
Provinsi Nusa Tenggara Timur,3077911.0389811797,2670170.3275510776,2412531.2227492477,2365594.159158363,2212659.751057537,1989257.334971682,2147512.705473766,1791003.27942658,1747869.6067849712,2001065.4859090913,1594233.196904418,1488867.1049691378,1217623.6143315102,1176802.2549470088,982250.8067172075,1675588.2721880148,649083.2718457362,409171.71251068055,0.0,1411567.6398400897,1149959.7744808418,888971.3653921593,1250665.7121444035,1075514.0450270378,800262.0655452696,565069.179833396,513519.62785973225,1045809.4049014633,674614.8590659732,1168745.143305575,1355309.3063276566,1565948.9257965728,1941629.3602122646
Provinsi Kalimantan Barat,1727444.0615072597,1353929.5984630852,1189410.3374378062,1089253.6778475635,1014689.2399344449,905870.0499982163,1079046.0570429792,824194.7364981546,622879.9017965083,596333.0548197969,833643.7880053661,863733.5098163895,774247.813670364,848070.3575846894,806973.9071362822,905718.1204494201,988963.1006022027,1132945.1648044852,1411567.6398400897,0.0,262888.95917577134,525699.3926718263,589819.4998590188,1395023.11983541,1117028.186249417,1016987.5703979785,1264396.977312429,1226097.378397296,908511.2874550632,2102745.8667153055,1829510.5651255026,2418122.3156303056,2991436.491714787
Provinsi Kalimantan Tengah,1979795.8777102963,1596264.924445325,1404198.0645715422,1317773.0263485776,1218042.8702144455,1068396.9228498181,1244959.8914570315,941793.4788100088,781008.7244454793,852612.4543014546,881892.2798593192,871601.865454385,703705.5302321834,759329.5315020288,659728.75033584,965895.2318288126,770481.3506351112,888109.829459006,1149959.7744808418,262888.95917577134,0.0,262812.5015186283,499206.36630094994,1206300.3294133022,897699.1800091008,765186.1497749062,1014662.6012138425,1042728.9492958296,663251.4158425054,1872194.520383912,1645508.588265416,2202836.8956381115,2760273.12056415
